app_pkg,arpu,click_num,country_code,data_date,fill_num,imp_uv,lc,placement_id,request_num,revenue,show_num,uv
com.ehawk.antivirus.applock.wifi,0.0,2,ZM,2019-01-24,737,180,,150933,737,0.01277,200,624
com.ehawk.antivirus.applock.wifi,0.07,20,ZM,2019-01-24,674,137,,150642,674,0.35908,182,548
com.ehawk.antivirus.applock.wifi,0.02,1,ZM,2019-01-24,60,1,,149339,60,0.00638,1,35
com.ehawk.antivirus.applock.wifi,0.0,0,ZM,2019-01-24,9,0,,149344,9,0.0,0,9
com.ehawk.antivirus.applock.wifi,0.0,0,ZM,2019-01-24,4,0,,149343,4,0.0,0,5
com.ehawk.antivirus.applock.wifi,0.0,0,ZM,2019-01-24,0,0,,150641,0,0.0,0,0
com.ehawk.antivirus.applock.wifi,0.0,0,ZM,2019-01-24,52,5,,150988,52,0.0,5,53
com.ehawk.antivirus.applock.wifi,0.0,0,ZM,2019-01-24,146,11,,150636,146,0.0,11,143
com.ehawk.antivirus.applock.wifi,0.0,0,ZM,2019-01-24,43,7,,148719,43,0.0,7,36
com.ehawk.antivirus.applock.wifi,0.0,0,ZM,2019-01-24,0,0,,150649,0,0.0,0,0
com.ehawk.antivirus.applock.wifi,0.0,0,ZM,2019-01-24,3,0,,139233,3,0.0,0,3
com.ehawk.antivirus.applock.wifi,0.0,0,ZM,2019-01-24,1,0,,150651,1,0.0,0,1
com.ehawk.antivirus.applock.wifi,0.02,1,ZM,2019-01-24,35,6,,142494,35,0.00638,6,31
com.ehawk.antivirus.applock.wifi,0.0,0,ZM,2019-01-24,60,5,,150654,60,0.0,5,62
com.ehawk.antivirus.applock.wifi,0.06,2,ZM,2019-01-24,205,67,,150934,205,0.11798,69,194
com.ehawk.antivirus.applock.wifi,0.0,0,ZM,2019-01-24,60,8,,150986,60,0.0,9,60
com.ehawk.antivirus.applock.wifi,0.0,0,ZM,2019-01-24,28,5,,150647,28,0.0,5,25
com.ehawk.antivirus.applock.wifi,0.0,0,ZM,2019-01-24,16,3,,150638,16,0.0,3,14
com.ehawk.antivirus.applock.wifi,0.01,2,ZM,2019-01-24,190,20,,150646,190,0.01277,20,164
com.ehawk.antivirus.applock.wifi,0.0,0,ZM,2019-01-24,163,36,,150987,163,0.0,42,148
com.ehawk.antivirus.applock.wifi,0.0,0,ZM,2019-01-24,8,0,,149345,8,0.0,0,7
com.ehawk.antivirus.applock.wifi,0.0,0,ZM,2019-01-24,73,5,,150640,73,0.0,6,72
com.ehawk.antivirus.applock.wifi,0.0,0,ZM,2019-01-24,224,27,,150648,224,0.0,31,203
com.ehawk.antivirus.applock.wifi,0.0,0,ZM,2019-01-24,10,0,,149336,10,0.0,0,9
com.ehawk.antivirus.applock.wifi,0.0,0,ZA,2019-01-24,144,40,,150987,144,0.0,48,126
com.ehawk.antivirus.applock.wifi,0.0,0,ZA,2019-01-24,2,0,,149345,2,0.0,0,2
com.ehawk.antivirus.applock.wifi,0.0,0,ZA,2019-01-24,53,3,,150640,53,0.0,3,52
com.ehawk.antivirus.applock.wifi,0.0,0,ZA,2019-01-24,115,15,,150648,115,0.0,17,106
